City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,usta muhammad,28.1794,68.0445,298.83,12,0,1.79,PK,1696190739
213,acapulco de juarez,16.8634,-99.8901,306.05,66,75,3.09,MX,1696190569
214,kamloops,50.6665,-120.3192,288.01,54,20,1.03,CA,1696190739
215,richards bay,-28.783,32.0377,291.03,64,96,3.64,ZA,1696190739
216,nazir town,33.3061,73.4833,294.94,38,0,2.04,PK,1696190739
217,al kharijah,25.4514,30.5464,302.96,26,71,6.81,EG,1696190740
218,ulcinj,41.9294,19.2244,295.27,59,0,5.22,ME,1696190740
219,hasaki,35.7333,140.8333,294.37,68,100,9.54,JP,1696190740
220,prince rupert,54.3161,-130.3201,283.2,93,100,8.75,CA,1696190490
221,laguna,38.421,-121.4238,297.77,54,20,3.09,US,1696190740
222,ivdel',60.6911,60.4206,286.03,81,100,3.12,RU,1696190740
223,kerikeri,-35.2268,173.9474,285.32,95,11,0.89,NZ,1696190740
224,ovalle,-30.5983,-71.2003,294.75,48,0,3.98,CL,1696190740
225,waupaca,44.358,-89.086,305.27,59,0,3.6,US,1696190740
226,swakopmund,-22.6833,14.5333,285.62,89,22,0.89,NA,1696190741
227,ola,59.5833,151.2833,276.16,87,100,1.5,RU,1696190741
228,east london,-33.0153,27.9116,289.54,65,97,5.0,ZA,1696190741
229,haiku-pauwela,20.9219,-156.3051,302.13,61,38,5.81,US,1696190548
230,alice springs,-23.7,133.8833,298.9,22,53,0.0,AU,1696190481
231,esperanza,19.5847,-70.9849,307.47,64,100,1.79,DO,1696190741
232,taiynsha,53.8478,69.7639,281.79,83,5,2.7,KZ,1696190741
233,kovalam,8.3667,76.9967,300.2,89,75,2.06,IN,1696190741
234,nemuro,43.3236,145.575,287.8,82,51,3.44,JP,1696190706
235,polyarnyy,69.1989,33.4478,279.28,74,96,9.81,RU,1696190742
236,santa ana,33.7456,-117.8678,294.92,57,75,3.6,US,1696190720
237,jagdalpur,19.0667,82.0333,295.29,96,100,2.48,IN,1696190742
238,lensk,60.7253,114.9278,276.33,96,100,6.71,RU,1696190742
239,sisimiut,66.9395,-53.6735,274.66,70,70,1.12,GL,1696190742
240,broken hill,-31.95,141.4333,291.9,39,81,6.5,AU,1696190742
241,teknaf,20.8624,92.3058,299.14,91,100,4.15,BD,1696190742
242,kendari,-3.945,122.4989,296.08,94,19,0.52,ID,1696190742
243,francistown,-21.17,27.5079,297.1,43,0,10.66,BW,1696190743
244,cassia,-20.5831,-46.9219,303.86,42,64,4.11,BR,1696190550
245,greenville,35.6127,-77.3663,300.24,59,40,4.63,US,1696190743
246,kayes,14.0,-11.0,302.99,59,54,2.8,ML,1696190743
247,port saint john's,-31.6229,29.5448,290.28,64,100,2.76,ZA,1696190743
248,narrabri,-30.3167,149.7833,290.85,49,6,4.76,AU,1696190743
249,taiyuan,37.8694,112.5603,283.07,76,0,3.0,CN,1696190743
250,kalabo,-14.97,22.6814,298.93,33,30,1.85,ZM,1696190743
251,yatou,37.15,122.3833,288.2,66,9,1.32,CN,1696190743
252,groningen,53.25,6.75,292.05,85,100,1.54,NL,1696190460
253,coahuayana de hidalgo,18.7,-103.6583,305.59,68,68,2.8,MX,1696190744
254,popondetta,-8.7537,148.2534,295.85,97,92,1.1,PG,1696190744
255,tamanrasset,22.785,5.5228,299.1,24,40,2.06,DZ,1696190744
256,khovd,48.0056,91.6419,279.76,57,24,1.65,MN,1696190744
257,ravanusa,37.2667,13.969,294.47,61,0,1.17,IT,1696190744
258,marica,-22.9194,-42.8186,296.1,96,99,3.71,BR,1696190697
259,ceres,37.5949,-120.9577,297.02,63,40,0.0,US,1696190744
260,constantia,44.1833,28.65,290.76,50,100,5.35,RO,1696190459
261,mili,6.0815,171.735,300.86,75,85,1.21,MH,1696190745
262,kotri,25.366,68.3122,303.75,10,58,2.62,PK,1696190745
263,horodok,49.1637,26.5839,285.99,67,66,3.09,UA,1696190745
264,lemvig,56.5486,8.3102,289.34,94,100,5.2,DK,1696190745
265,fort bragg,35.139,-79.006,300.73,58,20,4.12,US,1696190613
266,talnakh,69.4865,88.3972,260.66,93,22,2.8,RU,1696190745
267,salahonda,2.1019,-78.7217,299.9,81,100,7.23,CO,1696190745
268,tanjung sepat,2.6579,101.5629,300.29,89,20,1.03,MY,1696190745
269,yamada,39.4667,141.95,287.8,80,0,2.52,JP,1696190745
270,katsuura,35.1333,140.3,296.0,74,40,8.8,JP,1696190746
271,fort st. john,56.2499,-120.8529,286.09,47,75,6.69,CA,1696190746
272,bodo,67.28,14.405,281.17,93,75,5.14,NO,1696190746
273,mierlo,51.44,5.6194,292.75,78,40,1.54,NL,1696190746
274,hilo,19.7297,-155.09,302.19,84,75,2.57,US,1696190746
275,vilyuchinsk,52.9306,158.4028,276.3,83,99,0.91,RU,1696190746
276,dongola,19.1667,30.4833,309.63,11,72,2.89,SD,1696190746
277,babayurt,43.6002,46.7789,289.23,73,11,5.62,RU,1696190747
278,shimokizukuri,40.8061,140.3861,289.0,74,51,4.17,JP,1696190747
279,gisborne,-38.6533,178.0042,289.06,68,5,4.11,NZ,1696190747
280,luderitz,-26.6481,15.1594,289.66,74,0,4.24,NA,1696190747
281,olympia,47.0379,-122.9007,291.05,70,20,2.06,US,1696190747
282,crane,31.3974,-102.3501,304.53,37,9,8.7,US,1696190747
283,jolo,6.05,121.0167,299.46,87,99,3.7,PH,1696190747
284,mahibadhoo,3.7833,72.9667,300.59,79,78,4.38,MV,1696190747
285,rikaze,29.25,88.8833,284.59,54,43,1.53,CN,1696190748
286,ankazoabo,-22.2833,44.5167,294.96,62,0,3.77,MG,1696190748
287,topeka,39.0483,-95.678,307.53,32,0,6.17,US,1696190559
288,nizhnesortymskiy,62.4397,71.7603,280.06,91,99,6.8,RU,1696190748
289,puchezh,56.9788,43.1676,284.38,90,100,3.09,RU,1696190748
290,susuman,62.7833,148.1667,270.36,92,15,1.34,RU,1696190748
291,kanggye,40.9695,126.5852,280.58,72,2,1.46,KP,1696190748
292,empangeni,-28.762,31.8933,289.67,70,100,2.07,ZA,1696190748
293,nova sintra,14.8667,-24.7167,296.76,80,53,7.54,CV,1696190748
294,mount gambier,-37.8333,140.7667,277.42,92,0,2.58,AU,1696190749
295,richmond,37.5538,-77.4603,301.38,53,75,4.63,US,1696190041
296,yanam,16.7333,82.2167,299.28,87,100,2.19,IN,1696190749
297,kirtipur,27.6667,85.2833,294.57,86,75,1.03,NP,1696190749
298,tazovsky,67.4667,78.7,273.3,88,100,6.08,RU,1696190749
299,rotterdam,51.9225,4.4792,291.98,87,100,0.0,NL,1696190463
300,vallenar,-28.5708,-70.7581,291.81,26,0,4.56,CL,1696190749
301,at taj,24.2049,23.2857,300.16,26,96,6.35,LY,1696190749
302,bukittinggi,-0.3091,100.3706,292.07,98,94,0.95,ID,1696190749
303,negara,-8.3151,114.6025,295.41,91,57,1.54,ID,1696190750
304,novodvinsk,64.4165,40.8122,282.47,95,81,1.57,RU,1696190750
305,sangkhla buri,15.1555,98.4536,295.95,99,100,0.6,TH,1696190750
306,south hedland,-20.4089,118.5983,295.11,78,1,3.09,AU,1696190750
307,dailekh,28.8333,81.6667,293.68,80,4,2.18,NP,1696190750
308,golyshmanovo,56.3979,68.3728,280.75,93,1,3.53,RU,1696190750
309,labytnangi,66.6572,66.4183,280.96,98,100,2.65,RU,1696190750
310,geraldton,-28.7667,114.6,290.38,88,75,7.2,AU,1696190750
311,skelleftea,64.7507,20.9528,282.35,96,75,4.12,SE,1696190750
312,kursavka,44.4564,42.5093,290.1,64,77,5.28,RU,1696190751
